"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"166","Census Tract 120","105","Census Tract 217.04","3/1/2020 - 3/31/2020, Every day, Daily Average",1491,1054,2108
"166","Census Tract 120","106","Census Tract 217.05","3/1/2020 - 3/31/2020, Every day, Daily Average",941,712,1243
"166","Census Tract 120","107","Census Tract 217.06","3/1/2020 - 3/31/2020, Every day, Daily Average",832,632,1093
"166","Census Tract 120","108","Census Tract 218.05","3/1/2020 - 3/31/2020, Every day, Daily Average",1339,964,1858
"166","Census Tract 120","109","Census Tract 226","3/1/2020 - 3/31/2020, Every day, Daily Average",1080,798,1459
"166","Census Tract 120","110","Census Tract 227","3/1/2020 - 3/31/2020, Every day, Daily Average",801,581,1102
"166","Census Tract 120","111","Census Tract 235.01","3/1/2020 - 3/31/2020, Every day, Daily Average",807,565,1150
"166","Census Tract 120","112","Census Tract 219.07","3/1/2020 - 3/31/2020, Every day, Daily Average",1626,1289,2050
"166","Census Tract 120","113","Census Tract 5","3/1/2020 - 3/31/2020, Every day, Daily Average",411,258,654
"166","Census Tract 120","114","Census Tract 13","3/1/2020 - 3/31/2020, Every day, Daily Average",635,402,1002
"166","Census Tract 120","115","Census Tract 14","3/1/2020 - 3/31/2020, Every day, Daily Average",490,304,789
"166","Census Tract 120","116","Census Tract 15","3/1/2020 - 3/31/2020, Every day, Daily Average",582,372,909
"166","Census Tract 120","117","Census Tract 16","3/1/2020 - 3/31/2020, Every day, Daily Average",448,271,738
"166","Census Tract 120","118","Census Tract 18","3/1/2020 - 3/31/2020, Every day, Daily Average",227,125,410
"166","Census Tract 120","119","Census Tract 19","3/1/2020 - 3/31/2020, Every day, Daily Average",279,155,499
"166","Census Tract 120","120","Census Tract 36","3/1/2020 - 3/31/2020, Every day, Daily Average",531,279,1008
"166","Census Tract 120","123","Census Tract 100.02","3/1/2020 - 3/31/2020, Every day, Daily Average",795,574,1100
"166","Census Tract 120","124","Census Tract 100.01","3/1/2020 - 3/31/2020, Every day, Daily Average",769,547,1080
"166","Census Tract 120","125","Census Tract 98.02","3/1/2020 - 3/31/2020, Every day, Daily Average",742,536,1025
"166","Census Tract 120","126","Census Tract 68.01","3/1/2020 - 3/31/2020, Every day, Daily Average",490,321,747
"166","Census Tract 120","129","Census Tract 9102","3/1/2020 - 3/31/2020, Every day, Daily Average",2363,1632,3420
"166","Census Tract 120","130","Census Tract 9101.01","3/1/2020 - 3/31/2020, Every day, Daily Average",1766,1347,2315
"166","Census Tract 120","131","Census Tract 97","3/1/2020 - 3/31/2020, Every day, Daily Average",640,449,910
"166","Census Tract 120","132","Census Tract 102.10","3/1/2020 - 3/31/2020, Every day, Daily Average",1438,1110,1861
"166","Census Tract 120","133","Census Tract 102.09","3/1/2020 - 3/31/2020, Every day, Daily Average",1587,1229,2048
"166","Census Tract 120","134","Census Tract 101.07","3/1/2020 - 3/31/2020, Every day, Daily Average",1685,1345,2110
"166","Census Tract 120","135","Census Tract 103.01","3/1/2020 - 3/31/2020, Every day, Daily Average",1417,1069,1877
"166","Census Tract 120","136","Census Tract 25","3/1/2020 - 3/31/2020, Every day, Daily Average",503,315,802
"166","Census Tract 120","137","Census Tract 103.04","3/1/2020 - 3/31/2020, Every day, Daily Average",1200,936,1537
"166","Census Tract 120","138","Census Tract 71","3/1/2020 - 3/31/2020, Every day, Daily Average",694,470,1024
"166","Census Tract 120","139","Census Tract 105.13","3/1/2020 - 3/31/2020, Every day, Daily Average",1033,812,1313
"166","Census Tract 120","140","Census Tract 105.10","3/1/2020 - 3/31/2020, Every day, Daily Average",1092,814,1464
"166","Census Tract 120","141","Census Tract 72","3/1/2020 - 3/31/2020, Every day, Daily Average",412,292,580
"166","Census Tract 120","142","Census Tract 62","3/1/2020 - 3/31/2020, Every day, Daily Average",442,273,713
"166","Census Tract 120","143","Census Tract 11","3/1/2020 - 3/31/2020, Every day, Daily Average",630,389,1019
"166","Census Tract 120","144","Census Tract 73","3/1/2020 - 3/31/2020, Every day, Daily Average",388,282,533
"166","Census Tract 120","145","Census Tract 42","3/1/2020 - 3/31/2020, Every day, Daily Average",174,93,325
"166","Census Tract 120","146","Census Tract 91.01","3/1/2020 - 3/31/2020, Every day, Daily Average",499,302,823
"166","Census Tract 120","147","Census Tract 89.04","3/1/2020 - 3/31/2020, Every day, Daily Average",547,371,805
"166","Census Tract 120","148","Census Tract 116.11","3/1/2020 - 3/31/2020, Every day, Daily Average",1596,1228,2073
"166","Census Tract 120","149","Census Tract 116.17","3/1/2020 - 3/31/2020, Every day, Daily Average",1672,1291,2164
"166","Census Tract 120","150","Census Tract 37","3/1/2020 - 3/31/2020, Every day, Daily Average",490,268,893
"166","Census Tract 120","151","Census Tract 105.11","3/1/2020 - 3/31/2020, Every day, Daily Average",851,646,1120
"166","Census Tract 120","152","Census Tract 115.04","3/1/2020 - 3/31/2020, Every day, Daily Average",2647,2107,3325
"166","Census Tract 120","153","Census Tract 116.15","3/1/2020 - 3/31/2020, Every day, Daily Average",2243,1798,2797
"166","Census Tract 120","154","Census Tract 115.03","3/1/2020 - 3/31/2020, Every day, Daily Average",2332,1859,2924
"166","Census Tract 120","155","Census Tract 114.23","3/1/2020 - 3/31/2020, Every day, Daily Average",2017,1539,2642
"166","Census Tract 120","156","Census Tract 114.25","3/1/2020 - 3/31/2020, Every day, Daily Average",2164,1686,2775
"166","Census Tract 120","157","Census Tract 116.13","3/1/2020 - 3/31/2020, Every day, Daily Average",2405,1772,3263
"166","Census Tract 120","158","Census Tract 114.20","3/1/2020 - 3/31/2020, Every day, Daily Average",1521,1170,1976
"166","Census Tract 120","159","Census Tract 116.20","3/1/2020 - 3/31/2020, Every day, Daily Average",2161,1712,2727
"166","Census Tract 120","160","Census Tract 116.14","3/1/2020 - 3/31/2020, Every day, Daily Average",2046,1607,2604
"166","Census Tract 120","161","Census Tract 116.21","3/1/2020 - 3/31/2020, Every day, Daily Average",1828,1434,2328
"166","Census Tract 120","162","Census Tract 116.19","3/1/2020 - 3/31/2020, Every day, Daily Average",1746,1369,2226
"166","Census Tract 120","163","Census Tract 116.23","3/1/2020 - 3/31/2020, Every day, Daily Average",2187,1722,2776
"166","Census Tract 120","164","Census Tract 102.11","3/1/2020 - 3/31/2020, Every day, Daily Average",1212,900,1631
"166","Census Tract 120","165","Census Tract 116.22","3/1/2020 - 3/31/2020, Every day, Daily Average",2426,1933,3043
"166","Census Tract 120","166","Census Tract 120","3/1/2020 - 3/31/2020, Every day, Daily Average",449,102,1963
"166","Census Tract 120","167","Census Tract 6","3/1/2020 - 3/31/2020, Every day, Daily Average",717,437,1174
"166","Census Tract 120","168","Census Tract 17","3/1/2020 - 3/31/2020, Every day, Daily Average",396,228,686
"166","Census Tract 120","169","Census Tract 90","3/1/2020 - 3/31/2020, Every day, Daily Average",523,345,791
"166","Census Tract 120","170","Census Tract 70.02","3/1/2020 - 3/31/2020, Every day, Daily Average",574,376,874
"166","Census Tract 120","171","Census Tract 99","3/1/2020 - 3/31/2020, Every day, Daily Average",1039,750,1437
"166","Census Tract 120","172","Census Tract 103.03","3/1/2020 - 3/31/2020, Every day, Daily Average",1027,778,1354
"166","Census Tract 120","173","Census Tract 105.14","3/1/2020 - 3/31/2020, Every day, Daily Average",1187,937,1502
"166","Census Tract 120","174","Census Tract 110","3/1/2020 - 3/31/2020, Every day, Daily Average",521,341,794
"166","Census Tract 120","175","Census Tract 1","3/1/2020 - 3/31/2020, Every day, Daily Average",892,536,1482
"166","Census Tract 120","176","Census Tract 2","3/1/2020 - 3/31/2020, Every day, Daily Average",898,592,1361
"166","Census Tract 120","177","Census Tract 4","3/1/2020 - 3/31/2020, Every day, Daily Average",670,409,1097
"166","Census Tract 120","178","Census Tract 502.12","3/1/2020 - 3/31/2020, Every day, Daily Average",2424,1946,3018
"166","Census Tract 120","179","Census Tract 502.10","3/1/2020 - 3/31/2020, Every day, Daily Average",1963,1514,2544
"166","Census Tract 120","180","Census Tract 506.06","3/1/2020 - 3/31/2020, Every day, Daily Average",2531,1967,3256
"166","Census Tract 120","181","Census Tract 505.25","3/1/2020 - 3/31/2020, Every day, Daily Average",2167,1768,2654
"166","Census Tract 120","182","Census Tract 502.14","3/1/2020 - 3/31/2020, Every day, Daily Average",2266,1809,2838
"166","Census Tract 120","183","Census Tract 502.20","3/1/2020 - 3/31/2020, Every day, Daily Average",2116,1612,2777
"166","Census Tract 120","184","Census Tract 505.31","3/1/2020 - 3/31/2020, Every day, Daily Average",2002,1616,2479
"166","Census Tract 120","185","Census Tract 507.23","3/1/2020 - 3/31/2020, Every day, Daily Average",1975,1623,2401
